iter	Passed	Remaining
0	0	82
1	1	92
2	3	99
3	4	97
4	5	98
5	6	98
6	7	97
7	8	97
8	9	97
9	10	95
10	11	93
11	12	92
12	13	90
13	14	88
14	15	86
15	16	84
16	17	83
17	17	81
18	18	80
19	19	79
20	20	78
21	21	76
22	22	75
23	23	73
24	24	72
25	25	71
26	25	69
27	26	68
28	27	67
29	28	65
30	29	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	35	56
39	36	55
40	37	54
41	37	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	41
53	48	40
54	48	39
55	49	38
56	50	37
57	51	37
58	51	36
59	52	35
60	53	34
61	54	33
62	55	32
63	56	31
64	57	30
65	57	29
66	58	28
67	59	27
68	60	27
69	60	26
70	61	25
71	62	24
72	63	23
73	64	22
74	64	21
75	65	20
76	66	19
77	67	18
78	67	18
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	73	12
86	74	11
87	75	10
88	76	9
89	76	8
90	77	7
91	78	6
92	78	5
93	79	5
94	80	4
95	80	3
96	81	2
97	82	1
98	82	0
99	83	0
